Label,wrist,thumb cmc,thumb mcp,thumb ip,thumb tip,index finger mcp,index finger pip,index finger dip,index finger tip,middle finger mcp,middle finger pip,middle finger dip,middle finger tip,ring finger mcp,ring finger pip,ring finger dip,ring finger tip,pinky mcp,pinky pip,pinky dip,pinky tip
0,"[0.22245870530605316, 0.732281506061554, -5.935643230259302e-07]","[0.181850403547287, 0.7248600125312805, -0.030578140169382095]","[0.140183687210083, 0.7077955007553101, -0.049098726361989975]","[0.1327390819787979, 0.6958957314491272, -0.0655922144651413]","[0.1523134708404541, 0.684023916721344, -0.07825420051813126]","[0.15842847526073456, 0.6601928472518921, -0.04598289355635643]","[0.1246306300163269, 0.6603384017944336, -0.08121588826179504]","[0.09905064105987549, 0.6514918804168701, -0.09946971386671066]","[0.08467890322208405, 0.6377471089363098, -0.1107633039355278]","[0.2088708132505417, 0.6534163951873779, -0.04602504149079323]","[0.18158870935440063, 0.7049723267555237, -0.08018562197685242]","[0.16445320844650269, 0.7237924933433533, -0.08259401470422745]","[0.1638035774230957, 0.7191283702850342, -0.07968126237392426]","[0.2531053125858307, 0.6646966934204102, -0.04974120110273361]","[0.22534306347370148, 0.7208836078643799, -0.08646073192358017]","[0.2008889615535736, 0.7355713844299316, -0.07338972389698029]","[0.1957933008670807, 0.7295110821723938, -0.057854242622852325]","[0.2896614372730255, 0.6822997331619263, -0.057247593998909]","[0.2681015133857727, 0.7222275733947754, -0.08893125504255295]","[0.24157395958900452, 0.7338078022003174, -0.08432307839393616]","[0.23069337010383606, 0.7295348644256592, -0.07289823889732361]"
0,"[0.33469492197036743, 0.7090311646461487, 3.216409822925925e-07]","[0.35065990686416626, 0.7180898785591125, -0.13466940820217133]","[0.39625534415245056, 0.745642900466919, -0.17084553837776184]","[0.44041553139686584, 0.7799901962280273, -0.1742335557937622]","[0.49465474486351013, 0.8057171106338501, -0.16426698863506317]","[0.5186757445335388, 0.7241424918174744, -0.13647723197937012]","[0.5878209471702576, 0.7661910653114319, -0.19969822466373444]","[0.6340168714523315, 0.7929028272628784, -0.23384706676006317]","[0.6772235631942749, 0.8191148638725281, -0.25050774216651917]","[0.4985259175300598, 0.7459620833396912, -0.07579546421766281]","[0.49220147728919983, 0.7974335551261902, -0.1509019434452057]","[0.42110350728034973, 0.7880181074142456, -0.16210147738456726]","[0.3854067325592041, 0.7728201150894165, -0.1503985971212387]","[0.47998130321502686, 0.7667675018310547, -0.02810806967318058]","[0.4630363881587982, 0.8073261976242065, -0.10830188542604446]","[0.3982790410518646, 0.7887417078018188, -0.11161750555038452]","[0.3860156536102295, 0.7725687026977539, -0.09090133011341095]","[0.4678199291229248, 0.7816742658615112, 0.01025333534926176]","[0.4356094300746918, 0.8093328475952148, -0.048174772411584854]","[0.3932673931121826, 0.7958402037620544, -0.060241930186748505]","[0.38571488857269287, 0.7795058488845825, -0.0540103018283844]"
0,"[0.41363289952278137, 0.7796092629432678, 2.1819934659106366e-07]","[0.3323552906513214, 0.7941293716430664, -0.054986387491226196]","[0.3055087924003601, 0.8354520797729492, -0.105000339448452]","[0.3251769542694092, 0.8761164546012878, -0.13128364086151123]","[0.3533127009868622, 0.9060665369033813, -0.1558653861284256]","[0.3396083414554596, 0.7961872816085815, -0.2290608137845993]","[0.3410413861274719, 0.8758938908576965, -0.2898916006088257]","[0.3332113027572632, 0.9168313145637512, -0.3076561391353607]","[0.33453255891799927, 0.9451418519020081, -0.31586065888404846]","[0.4096565246582031, 0.7998508810997009, -0.21002113819122314]","[0.38837823271751404, 0.8823255300521851, -0.24750256538391113]","[0.35723400115966797, 0.8709444403648376, -0.21507783234119415]","[0.35494837164878845, 0.8474103212356567, -0.19710427522659302]","[0.4640945792198181, 0.8071608543395996, -0.18608109652996063]","[0.4310879409313202, 0.8834354281425476, -0.2095847874879837]","[0.3970247209072113, 0.870028555393219, -0.16895072162151337]","[0.3946898877620697, 0.8484781384468079, -0.1470334231853485]","[0.4997570812702179, 0.8175973296165466, -0.16375721991062164]","[0.47275471687316895, 0.8707732558250427, -0.1768830269575119]","[0.4394049644470215, 0.8618649244308472, -0.15578509867191315]","[0.43681973218917847, 0.8434990644454956, -0.1463818997144699]"
0,"[0.40335357189178467, 0.7458832263946533, -4.57794527619626e-07]","[0.3500796854496002, 0.7262473702430725, -0.043282415717840195]","[0.3042996823787689, 0.707748293876648, -0.07789793610572815]","[0.2929912507534027, 0.7039079070091248, -0.10856857895851135]","[0.3169361352920532, 0.7022469639778137, -0.13719667494297028]","[0.35554930567741394, 0.6410563588142395, -0.06864836812019348]","[0.29767322540283203, 0.6267294883728027, -0.11466672271490097]","[0.2558697462081909, 0.6069757342338562, -0.15147480368614197]","[0.22686603665351868, 0.5902823805809021, -0.1782599240541458]","[0.4223736524581909, 0.6482066512107849, -0.06830985844135284]","[0.3398069143295288, 0.7025063037872314, -0.10550671070814133]","[0.3205776810646057, 0.7198584079742432, -0.11282027512788773]","[0.33506932854652405, 0.7195263504981995, -0.11670851707458496]","[0.46355560421943665, 0.6781827807426453, -0.07264423370361328]","[0.37877142429351807, 0.7318511605262756, -0.10335508733987808]","[0.35918664932250977, 0.7381227016448975, -0.0863264873623848]","[0.367802232503891, 0.732638418674469, -0.07308316230773926]","[0.4844501316547394, 0.7115341424942017, -0.08311263471841812]","[0.4140603542327881, 0.7523466944694519, -0.11313199251890182]","[0.3962453007698059, 0.7551168203353882, -0.10516686737537384]","[0.40470415353775024, 0.7459992170333862, -0.09325823932886124]"
0,"[0.37743502855300903, 0.7924835681915283, 1.8879930507864628e-07]","[0.3903689384460449, 0.8093214631080627, -0.09335833042860031]","[0.4622889757156372, 0.8145847320556641, -0.1213735044002533]","[0.5420147180557251, 0.8164127469062805, -0.1213584914803505]","[0.6060240268707275, 0.8156853914260864, -0.11254024505615234]","[0.4644066095352173, 0.7249906659126282, -0.13433507084846497]","[0.5744383931159973, 0.7532565593719482, -0.16533654928207397]","[0.6397594809532166, 0.7697656750679016, -0.1749686896800995]","[0.6926296949386597, 0.7761317491531372, -0.181478351354599]","[0.4973645806312561, 0.7139252424240112, -0.09233827888965607]","[0.5651953816413879, 0.7748134136199951, -0.12584716081619263]","[0.5189887285232544, 0.7975038886070251, -0.12266577035188675]","[0.4846513271331787, 0.7930524945259094, -0.11711297184228897]","[0.5240987539291382, 0.7163472175598145, -0.05448136106133461]","[0.5749468207359314, 0.7713097333908081, -0.09102433174848557]","[0.5257418155670166, 0.7911831140518188, -0.08428806811571121]","[0.5011218786239624, 0.7820276021957397, -0.07461005449295044]","[0.5408097505569458, 0.7263213992118835, -0.022486090660095215]","[0.5741697549819946, 0.7646199464797974, -0.05068137124180794]","[0.5422120094299316, 0.7813108563423157, -0.05263973027467728]","[0.518535852432251, 0.774763822555542, -0.04976224899291992]"
0,"[0.4086911976337433, 0.8027750849723816, -4.5687161787100194e-07]","[0.35181719064712524, 0.7998567223548889, -0.06048398092389107]","[0.2981148362159729, 0.7994236350059509, -0.10859434306621552]","[0.2997066080570221, 0.8264352679252625, -0.1489267349243164]","[0.32964158058166504, 0.8523908257484436, -0.18244025111198425]","[0.3415161967277527, 0.7228171229362488, -0.10171133279800415]","[0.29549476504325867, 0.7658959627151489, -0.16324648261070251]","[0.2608872950077057, 0.7817912101745605, -0.19741018116474152]","[0.2402585744857788, 0.7839497923851013, -0.21582075953483582]","[0.4037977457046509, 0.7291003465652466, -0.0965576246380806]","[0.36081206798553467, 0.8101599216461182, -0.1456497460603714]","[0.3374764323234558, 0.8188323378562927, -0.14704371988773346]","[0.33741194009780884, 0.8006308078765869, -0.14361542463302612]","[0.45095205307006836, 0.7513425946235657, -0.09783388674259186]","[0.4038194417953491, 0.8296449184417725, -0.1363680511713028]","[0.37122172117233276, 0.8317400217056274, -0.11161225289106369]","[0.3629516363143921, 0.8145008087158203, -0.08900584280490875]","[0.4821596145629883, 0.7779338955879211, -0.10781219601631165]","[0.43958455324172974, 0.8358008861541748, -0.1447373777627945]","[0.4069947898387909, 0.8374530076980591, -0.13878317177295685]","[0.39659276604652405, 0.8241994976997375, -0.12471970170736313]"
0,"[0.7308359742164612, 0.6989407539367676, -7.99081831814874e-08]","[0.6350027918815613, 0.7072242498397827, -0.06908120959997177]","[0.5281389951705933, 0.7062282562255859, -0.08482849597930908]","[0.4421379864215851, 0.6830340027809143, -0.09304177761077881]","[0.3696109652519226, 0.6618015766143799, -0.0935189500451088]","[0.424993634223938, 0.7099839448928833, -0.008270292542874813]","[0.30796846747398376, 0.7161623239517212, -0.04654733091592789]","[0.24266093969345093, 0.7182332277297974, -0.07409050315618515]","[0.18497034907341003, 0.7120870351791382, -0.09066145867109299]","[0.4667418301105499, 0.677588701248169, 0.013977771624922752]","[0.4099702537059784, 0.6523772478103638, -0.04830357804894447]","[0.47818508744239807, 0.6615755558013916, -0.07662256807088852]","[0.5083897113800049, 0.6667932271957397, -0.07840596139431]","[0.5155370235443115, 0.6494086384773254, 0.025919664651155472]","[0.48285362124443054, 0.627980649471283, -0.0462699830532074]","[0.5472460985183716, 0.6476197242736816, -0.05720224976539612]","[0.5674229860305786, 0.6578944325447083, -0.042404647916555405]","[0.5608397722244263, 0.6265406012535095, 0.03384076803922653]","[0.5422225594520569, 0.61305832862854, -0.011891216970980167]","[0.5844253301620483, 0.6317972540855408, -0.013254188001155853]","[0.6015050411224365, 0.645226240158081, -0.0008598091662861407]"
0,"[0.7245172262191772, 0.7833139896392822, -4.046102901611448e-07]","[0.6849416494369507, 0.7541680335998535, -0.04160517454147339]","[0.6401346921920776, 0.7325500249862671, -0.07906366884708405]","[0.5890604257583618, 0.7406105995178223, -0.11200616508722305]","[0.5705821514129639, 0.7627729773521423, -0.14327454566955566]","[0.7213091850280762, 0.713634192943573, -0.0837457999587059]","[0.6244860291481018, 0.7254945635795593, -0.12675586342811584]","[0.5792837142944336, 0.7337981462478638, -0.15411116182804108]","[0.5490992665290833, 0.7414498925209045, -0.16877305507659912]","[0.752106785774231, 0.7415189743041992, -0.08380112051963806]","[0.6193568110466003, 0.7760940194129944, -0.11295188218355179]","[0.6296240091323853, 0.7762032747268677, -0.11778871715068817]","[0.6541765332221985, 0.7741183638572693, -0.12068137526512146]","[0.7641936540603638, 0.7762107849121094, -0.08630751073360443]","[0.6362389326095581, 0.8008995056152344, -0.10571363568305969]","[0.6558727622032166, 0.7952801585197449, -0.08668390661478043]","[0.6844195127487183, 0.7898019552230835, -0.07062972337007523]","[0.7601566910743713, 0.8071956634521484, -0.09493868052959442]","[0.661517858505249, 0.8207616806030273, -0.1124526634812355]","[0.6732573509216309, 0.8115293979644775, -0.09938617050647736]","[0.7027719020843506, 0.8012248873710632, -0.08349046856164932]"
0,"[0.36663928627967834, 0.8006269335746765, 4.330766785187734e-07]","[0.3998411297798157, 0.7824413776397705, -0.1008378118276596]","[0.4610428810119629, 0.7613130807876587, -0.1236434057354927]","[0.5416581630706787, 0.7499800324440002, -0.12425091117620468]","[0.6031202077865601, 0.7385714054107666, -0.11449314653873444]","[0.45126020908355713, 0.6864718794822693, -0.06404799222946167]","[0.5498015284538269, 0.6712611317634583, -0.09847435355186462]","[0.6099613308906555, 0.6615989208221436, -0.11931571364402771]","[0.6622811555862427, 0.6527329683303833, -0.13093829154968262]","[0.4793221354484558, 0.7082345485687256, -0.020817503333091736]","[0.5721198916435242, 0.7309067845344543, -0.0806182473897934]","[0.5345613956451416, 0.7605355381965637, -0.09931045025587082]","[0.4938011169433594, 0.7710658311843872, -0.09297744184732437]","[0.503436267375946, 0.7315657734870911, 0.012412545271217823]","[0.5689706206321716, 0.7524660229682922, -0.054258547723293304]","[0.5204160809516907, 0.7748270034790039, -0.06082522124052048]","[0.4861619174480438, 0.7741817235946655, -0.042898256331682205]","[0.5128881335258484, 0.7484339475631714, 0.03907579928636551]","[0.554805338382721, 0.7670305967330933, -0.009716836735606194]","[0.520959198474884, 0.7831906676292419, -0.01644780859351158]","[0.4904477596282959, 0.7824790477752686, -0.006072689779102802]"
0,"[0.32187050580978394, 0.7499165534973145, 4.3079990064143203e-07]","[0.39202332496643066, 0.7660235166549683, -0.0909620150923729]","[0.490620493888855, 0.7740691304206848, -0.09092654287815094]","[0.5669081807136536, 0.783502459526062, -0.06565572321414948]","[0.6396729946136475, 0.7872399687767029, -0.02992343343794346]","[0.5643597841262817, 0.7148371934890747, -0.02590218186378479]","[0.6607311964035034, 0.7114036083221436, -0.006015232764184475]","[0.7259795069694519, 0.7097529768943787, 0.00731460889801383]","[0.777692437171936, 0.7089676260948181, 0.016815992072224617]","[0.5398929119110107, 0.7267133593559265, 0.039509885013103485]","[0.5880159139633179, 0.7518536448478699, 0.05207038298249245]","[0.544226348400116, 0.7609793543815613, 0.05164194852113724]","[0.5055378079414368, 0.7569177150726318, 0.058540161699056625]","[0.5176512598991394, 0.7415956258773804, 0.09747687727212906]","[0.5608478784561157, 0.7667202949523926, 0.09888528287410736]","[0.5155526995658875, 0.7746124267578125, 0.07693783193826675]","[0.4926670491695404, 0.7709273099899292, 0.06924974173307419]","[0.5069702863693237, 0.7524064779281616, 0.15026763081550598]","[0.5316612720489502, 0.7686535120010376, 0.1507187932729721]","[0.499320924282074, 0.7757251262664795, 0.1339080035686493]","[0.4773722290992737, 0.7742491364479065, 0.1266600787639618]"
